Id,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice,YearSold
1,60,65.0,8450,7,2003,2003,856,1710,2,2,208500,2008
2,20,80.0,9600,6,1976,1976,1262,1262,2,2,181500,2007
3,60,68.0,11250,7,2001,2002,920,1786,2,2,223500,2008
4,70,60.0,9550,7,1915,1970,756,1717,1,3,140000,2006
5,60,84.0,14260,8,2000,2000,1145,2198,2,3,250000,2008
6,50,85.0,14115,5,1993,1995,796,1362,1,2,143000,2009
7,20,75.0,10084,8,2004,2005,1686,1694,2,2,307000,2007
8,60,,10382,7,1973,1973,1107,2090,2,2,200000,2009
9,50,51.0,6120,7,1931,1950,952,1774,2,2,129900,2008
10,190,50.0,7420,5,1939,1950,991,1077,1,1,118000,2008
11,20,70.0,11200,5,1965,1965,1040,1040,1,1,129500,2008
12,60,85.0,11924,9,2005,2006,1175,2324,3,3,345000,2006
13,20,,12968,5,1962,1962,912,912,1,1,144000,2008
14,20,91.0,10652,7,2006,2007,1494,1494,2,2,279500,2007
15,45,51.0,6120,7,1929,2001,854,854,1,1,132000,2008
